ID,alive,correct_AVE,correct_LIST,genomeLength,incorrect_AVE,incorrect_LIST,markovBrainDeterministicGates,markovBrainGates,markovBrain_nextNodesConnections_AVE,markovBrain_nextNodesConnections_LIST,markovBrain_nodesConnections_AVE,markovBrain_nodesConnections_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,snapshotAncestors_LIST,update
67,1,31.000000,"31",5000,33.000000,"33",2,2,0.625000,"0,0,1,1,0,0,1,2",1.000000,"2,0,0,2,0,2,1,1",0.907029,0.907029,"0.907029",-1,"-1",0
68,1,31.000000,"31",5000,33.000000,"33",2,2,0.875000,"0,0,0,2,0,0,4,1",0.750000,"1,1,1,1,1,1,0,0",0.907029,0.907029,"0.907029",-1,"-1",0
69,1,31.000000,"31",5000,33.000000,"33",2,2,0.750000,"1,1,3,0,1,0,0,0",0.375000,"1,0,1,1,0,0,0,0",0.907029,0.907029,"0.907029",-1,"-1",0
70,1,31.000000,"31",5000,33.000000,"33",2,2,0.500000,"1,0,1,1,1,0,0,0",0.750000,"0,1,0,1,1,1,2,0",0.907029,0.907029,"0.907029",-1,"-1",0
71,1,28.000000,"28",5000,36.000000,"36",2,2,0.625000,"0,1,1,2,0,0,0,1",0.250000,"1,0,0,0,0,0,1,0",0.676839,0.676839,"0.676839",-1,"-1",0
72,1,31.000000,"31",5000,33.000000,"33",2,2,0.500000,"0,0,1,0,1,1,1,0",1.000000,"2,0,0,1,2,0,1,2",0.907029,0.907029,"0.907029",-1,"-1",0
73,1,28.000000,"28",5000,36.000000,"36",2,2,0.750000,"0,3,1,0,1,1,0,0",0.750000,"0,0,0,1,0,0,3,2",0.676839,0.676839,"0.676839",-1,"-1",0
74,1,28.000000,"28",5000,36.000000,"36",2,2,0.625000,"0,2,0,0,1,0,1,1",0.625000,"0,0,2,0,1,0,2,0",0.676839,0.676839,"0.676839",-1,"-1",0
75,1,28.000000,"28",5000,36.000000,"36",2,2,0.250000,"0,0,1,0,1,0,0,0",0.750000,"1,0,0,2,0,0,1,2",0.676839,0.676839,"0.676839",-1,"-1",0
76,1,28.000000,"28",5000,36.000000,"36",2,2,1.000000,"1,1,0,0,2,1,3,0",0.625000,"0,1,1,0,0,1,0,2",0.676839,0.676839,"0.676839",-1,"-1",0
77,1,28.000000,"28",5000,36.000000,"36",2,2,0.625000,"0,0,0,0,1,1,1,2",0.875000,"0,0,1,3,1,0,1,1",0.676839,0.676839,"0.676839",-1,"-1",0
78,1,28.000000,"28",5000,36.000000,"36",2,2,0.500000,"2,0,0,1,0,0,0,1",0.875000,"2,0,0,1,1,2,0,1",0.676839,0.676839,"0.676839",-1,"-1",0
79,1,28.000000,"28",5000,36.000000,"36",2,2,0.750000,"0,0,2,0,0,2,0,2",0.625000,"1,0,1,1,0,0,2,0",0.676839,0.676839,"0.676839",-1,"-1",0
80,1,26.000000,"26",5000,38.000000,"38",3,3,1.000000,"2,0,1,0,2,0,2,1",1.250000,"1,2,0,1,2,2,0,2",0.556837,0.556837,"0.556837",-1,"-1",0
81,1,28.000000,"28",5000,36.000000,"36",2,2,0.750000,"0,1,2,1,1,0,0,1",0.500000,"0,1,0,1,0,0,1,1",0.676839,0.676839,"0.676839",-1,"-1",0
82,1,28.000000,"28",5000,36.000000,"36",2,2,0.375000,"0,2,0,1,0,0,0,0",0.625000,"0,1,0,1,2,0,0,1",0.676839,0.676839,"0.676839",-1,"-1",0
83,1,31.000000,"31",5000,33.000000,"33",2,2,0.250000,"0,0,0,1,0,0,0,1",0.500000,"2,0,0,0,1,0,1,0",0.907029,0.907029,"0.907029",-1,"-1",0
84,1,28.000000,"28",5000,36.000000,"36",2,2,0.500000,"0,1,1,0,0,0,1,1",0.750000,"2,1,2,0,0,1,0,0",0.676839,0.676839,"0.676839",-1,"-1",0
85,1,28.000000,"28",5000,36.000000,"36",2,2,0.750000,"1,1,1,0,0,1,1,1",0.625000,"0,0,1,1,1,1,1,0",0.676839,0.676839,"0.676839",-1,"-1",0
86,1,31.000000,"31",5000,33.000000,"33",2,2,0.625000,"0,0,0,2,1,1,1,0",0.625000,"1,2,1,0,0,0,0,1",0.907029,0.907029,"0.907029",-1,"-1",0
87,1,28.000000,"28",5000,36.000000,"36",2,2,1.000000,"1,0,0,0,1,3,3,0",0.625000,"0,1,0,0,1,0,2,1",0.676839,0.676839,"0.676839",-1,"-1",0
88,1,28.000000,"28",5000,36.000000,"36",2,2,0.250000,"0,0,0,0,1,0,0,1",0.625000,"1,0,3,1,0,0,0,0",0.676839,0.676839,"0.676839",-1,"-1",0
89,1,27.000000,"27",5000,37.000000,"37",2,2,0.875000,"0,0,3,1,0,1,1,1",0.750000,"1,1,2,2,0,0,0,0",0.613913,0.613913,"0.613913",-1,"-1",0
90,1,31.000000,"31",5000,33.000000,"33",2,2,0.625000,"0,1,1,1,1,1,0,0",0.625000,"0,1,1,0,0,1,2,0",0.907029,0.907029,"0.907029",-1,"-1",0
91,1,28.000000,"28",5000,36.000000,"36",3,3,0.625000,"0,0,2,0,0,1,2,0",0.875000,"1,2,0,1,1,2,0,0",0.676839,0.676839,"0.676839",-1,"-1",0
92,1,28.000000,"28",5000,36.000000,"36",2,2,0.500000,"0,1,0,1,0,0,1,1",0.750000,"0,0,0,3,2,0,1,0",0.676839,0.676839,"0.676839",-1,"-1",0
93,1,28.000000,"28",5000,36.000000,"36",2,2,0.375000,"0,0,2,0,0,1,0,0",0.875000,"0,0,2,1,2,1,1,0",0.676839,0.676839,"0.676839",-1,"-1",0
94,1,23.000000,"23",5000,41.000000,"41",2,2,0.750000,"0,1,0,1,1,2,0,1",0.875000,"0,2,1,0,1,1,0,2",0.415521,0.415521,"0.415521",-1,"-1",0
95,1,28.000000,"28",5000,36.000000,"36",2,2,0.875000,"1,1,0,2,0,2,0,1",0.750000,"0,2,0,1,0,2,1,0",0.676839,0.676839,"0.676839",-1,"-1",0
96,1,28.000000,"28",5000,36.000000,"36",2,2,0.625000,"1,0,3,0,0,1,0,0",0.375000,"0,1,0,0,0,1,1,0",0.676839,0.676839,"0.676839",-1,"-1",0
97,1,28.000000,"28",5000,36.000000,"36",2,2,0.750000,"0,0,0,0,5,0,0,1",0.375000,"1,1,0,0,0,0,1,0",0.676839,0.676839,"0.676839",-1,"-1",0
98,1,28.000000,"28",5000,36.000000,"36",2,2,0.625000,"0,0,3,0,1,1,0,0",0.500000,"1,0,0,0,0,2,0,1",0.676839,0.676839,"0.676839",-1,"-1",0
99,1,28.000000,"28",5000,36.000000,"36",2,2,0.625000,"0,1,0,0,1,1,2,0",0.750000,"2,0,1,1,1,0,0,1",0.676839,0.676839,"0.676839",-1,"-1",0
