ID,alive,correct_AVE,correct_LIST,genomeLength,incorrect_AVE,incorrect_LIST,markovBrainDeterministicGates,markovBrainGates,markovBrain_nextNodesConnections_AVE,markovBrain_nextNodesConnections_LIST,markovBrain_nodesConnections_AVE,markovBrain_nodesConnections_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,snapshotAncestors_LIST,update
100001,1,51.000000,"51",14146,13.000000,"13",5,5,1.375000,"1,2,3,2,1,1,1,0",1.750000,"3,3,0,0,0,2,5,1",6.385477,6.385477,"6.385477",999,"50056",1000
100002,1,51.000000,"51",13324,13.000000,"13",3,3,1.000000,"0,2,2,1,1,1,1,0",1.125000,"2,2,0,0,0,1,3,1",6.385477,6.385477,"6.385477",999,"50056",1000
100003,1,28.000000,"28",13318,36.000000,"36",3,3,1.000000,"0,2,2,1,1,1,1,0",1.125000,"2,2,1,0,0,0,3,1",0.676839,0.676839,"0.676839",999,"50056",1000
100004,1,51.000000,"51",16469,13.000000,"13",4,4,1.125000,"0,2,2,1,1,2,1,0",1.500000,"2,3,0,0,0,2,4,1",6.385477,6.385477,"6.385477",999,"50056",1000
100005,1,51.000000,"51",12969,13.000000,"13",5,5,1.250000,"1,2,3,2,0,1,1,0",1.750000,"3,3,1,0,0,2,5,0",6.385477,6.385477,"6.385477",999,"50056",1000
100006,1,51.000000,"51",14526,13.000000,"13",3,3,1.000000,"0,2,2,1,1,1,1,0",1.125000,"2,2,0,0,0,1,3,1",6.385477,6.385477,"6.385477",999,"50056",1000
100007,1,51.000000,"51",15094,13.000000,"13",3,3,0.875000,"0,0,2,1,1,2,1,0",1.125000,"2,2,0,0,0,1,3,1",6.385477,6.385477,"6.385477",999,"50056",1000
100008,1,50.000000,"50",15928,14.000000,"14",5,5,1.250000,"1,1,3,2,1,1,1,0",1.750000,"3,3,0,0,0,2,6,0",5.791816,5.791816,"5.791816",999,"50056",1000
100009,1,35.000000,"35",14818,29.000000,"29",2,2,0.500000,"0,0,1,1,1,0,1,0",0.625000,"1,1,0,0,0,1,2,0",1.340096,1.340096,"1.340096",999,"50056",1000
100010,1,50.000000,"50",11768,14.000000,"14",3,3,1.000000,"0,1,2,1,1,2,1,0",1.125000,"2,2,0,1,0,1,3,0",5.791816,5.791816,"5.791816",999,"50056",1000
100011,1,49.000000,"49",14224,15.000000,"15",4,4,1.250000,"1,0,2,1,1,4,1,0",1.625000,"3,3,0,0,0,1,4,2",5.253348,5.253348,"5.253348",999,"50056",1000
100012,1,51.000000,"51",14793,13.000000,"13",3,3,0.875000,"0,0,2,1,1,2,1,0",1.125000,"2,2,0,0,0,1,3,1",6.385477,6.385477,"6.385477",999,"50056",1000
100013,1,51.000000,"51",13324,13.000000,"13",3,3,1.000000,"0,2,2,1,1,1,1,0",1.125000,"2,2,0,0,0,1,3,1",6.385477,6.385477,"6.385477",999,"50056",1000
100014,1,51.000000,"51",15606,13.000000,"13",4,4,1.125000,"0,2,2,1,1,2,1,0",1.500000,"2,3,0,0,0,2,4,1",6.385477,6.385477,"6.385477",999,"50056",1000
100015,1,35.000000,"35",15859,29.000000,"29",3,3,0.750000,"0,2,1,1,1,0,1,0",1.000000,"1,2,0,0,0,2,3,0",1.340096,1.340096,"1.340096",999,"50056",1000
100016,1,35.000000,"35",14229,29.000000,"29",6,6,1.250000,"0,3,3,3,0,0,1,0",1.875000,"3,3,0,0,0,3,6,0",1.340096,1.340096,"1.340096",999,"50056",1000
100017,1,51.000000,"51",16354,13.000000,"13",4,4,1.125000,"0,2,2,1,1,2,1,0",1.500000,"2,3,0,0,0,2,4,1",6.385477,6.385477,"6.385477",999,"50056",1000
100018,1,51.000000,"51",13021,13.000000,"13",3,3,1.000000,"1,0,2,1,1,2,1,0",1.250000,"2,2,1,0,0,1,3,1",6.385477,6.385477,"6.385477",999,"50056",1000
100019,1,51.000000,"51",13515,13.000000,"13",4,4,1.375000,"0,3,2,2,2,1,1,0",1.500000,"2,3,0,0,0,2,4,1",6.385477,6.385477,"6.385477",999,"50056",1000
100020,1,31.000000,"31",17822,33.000000,"33",3,3,0.875000,"0,2,1,1,1,2,0,0",1.250000,"1,3,0,0,0,2,3,1",0.907029,0.907029,"0.907029",999,"50056",1000
100021,1,51.000000,"51",13530,13.000000,"13",5,5,1.250000,"1,2,3,2,0,1,1,0",1.750000,"3,3,1,0,0,2,5,0",6.385477,6.385477,"6.385477",999,"50056",1000
100022,1,51.000000,"51",17041,13.000000,"13",5,5,1.375000,"0,2,2,2,2,2,1,0",1.875000,"2,4,0,0,0,3,5,1",6.385477,6.385477,"6.385477",999,"50056",1000
100023,1,51.000000,"51",16735,13.000000,"13",4,4,1.125000,"0,2,2,1,1,2,1,0",1.500000,"2,3,0,0,0,2,4,1",6.385477,6.385477,"6.385477",999,"50056",1000
100024,1,51.000000,"51",17535,13.000000,"13",4,4,1.125000,"0,2,2,1,1,2,1,0",1.500000,"2,3,0,0,0,2,4,1",6.385477,6.385477,"6.385477",999,"50056",1000
100025,1,51.000000,"51",13357,13.000000,"13",3,3,1.000000,"1,0,2,1,1,2,1,0",1.250000,"2,2,1,0,0,1,3,1",6.385477,6.385477,"6.385477",999,"50056",1000
100026,1,33.000000,"33",13910,31.000000,"31",4,4,1.375000,"2,0,2,2,2,2,1,0",1.750000,"2,3,2,0,0,2,4,1",1.102500,1.102500,"1.102500",999,"50056",1000
100027,1,51.000000,"51",16934,13.000000,"13",5,5,1.375000,"0,2,2,2,2,2,1,0",1.875000,"2,4,0,0,0,3,5,1",6.385477,6.385477,"6.385477",999,"50056",1000
100028,1,51.000000,"51",15871,13.000000,"13",4,4,1.125000,"0,2,2,1,1,2,1,0",1.500000,"2,3,0,0,0,2,4,1",6.385477,6.385477,"6.385477",999,"50056",1000
100029,1,51.000000,"51",13357,13.000000,"13",3,3,1.000000,"1,0,2,1,1,2,1,0",1.250000,"2,2,1,0,0,1,3,1",6.385477,6.385477,"6.385477",999,"50056",1000
100030,1,51.000000,"51",13777,13.000000,"13",5,5,1.250000,"1,2,3,2,0,1,1,0",1.750000,"3,3,0,1,0,2,5,0",6.385477,6.385477,"6.385477",999,"50056",1000
100031,1,51.000000,"51",13987,13.000000,"13",3,3,0.875000,"0,0,2,1,1,2,1,0",1.125000,"2,2,0,0,0,1,3,1",6.385477,6.385477,"6.385477",999,"50056",1000
100032,1,51.000000,"51",14880,13.000000,"13",3,3,1.000000,"0,2,2,1,1,1,1,0",1.125000,"2,2,0,0,0,1,3,1",6.385477,6.385477,"6.385477",999,"50056",1000
100033,1,51.000000,"51",14646,13.000000,"13",3,3,1.000000,"0,2,2,1,1,1,1,0",1.125000,"2,2,0,0,0,1,3,1",6.385477,6.385477,"6.385477",999,"50056",1000
100034,1,51.000000,"51",14822,13.000000,"13",3,3,0.875000,"0,0,2,1,1,2,1,0",1.125000,"2,2,0,0,0,1,3,1",6.385477,6.385477,"6.385477",999,"50056",1000
100035,1,51.000000,"51",16040,13.000000,"13",4,4,1.125000,"0,2,2,1,1,2,1,0",1.500000,"2,3,0,0,0,2,4,1",6.385477,6.385477,"6.385477",999,"50056",1000
100036,1,33.000000,"33",15967,31.000000,"31",3,3,1.000000,"0,2,2,1,1,1,1,0",1.125000,"2,2,0,0,0,1,3,1",1.102500,1.102500,"1.102500",999,"50056",1000
100037,1,51.000000,"51",14732,13.000000,"13",3,3,1.000000,"0,2,2,1,1,1,1,0",1.125000,"2,2,0,0,0,1,3,1",6.385477,6.385477,"6.385477",999,"50056",1000
100038,1,30.000000,"30",14727,34.000000,"34",2,2,0.625000,"0,0,2,0,0,2,1,0",0.750000,"2,1,0,0,0,0,2,1",0.822702,0.822702,"0.822702",999,"50056",1000
100039,1,51.000000,"51",17221,13.000000,"13",4,4,1.125000,"0,2,2,1,1,2,1,0",1.500000,"2,3,0,0,0,2,4,1",6.385477,6.385477,"6.385477",999,"50056",1000
100040,1,31.000000,"31",13357,33.000000,"33",3,3,0.875000,"1,0,2,1,1,2,0,0",1.250000,"2,2,1,0,0,1,3,1",0.907029,0.907029,"0.907029",999,"50056",1000
100041,1,31.000000,"31",12879,33.000000,"33",2,2,0.750000,"0,2,1,1,1,1,0,0",0.875000,"1,2,0,0,0,1,2,1",0.907029,0.907029,"0.907029",999,"50056",1000
100042,1,51.000000,"51",16735,13.000000,"13",4,4,1.125000,"0,2,2,1,1,2,1,0",1.500000,"2,3,0,0,0,2,4,1",6.385477,6.385477,"6.385477",999,"50056",1000
